# Force and moment coefficients
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# sideDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# liftDir     : (0.000000e+00 0.000000e+00 1.000000e+00)
# rollAxis    : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 1.000000e+00 0.000000e+00)
# yawAxis     : (0.000000e+00 0.000000e+00 1.000000e+00)
# magUInf     : 2.000000e+01
# lRef        : 1.420000e+00
# Aref        : 7.500000e-01
# CofR        : (7.200000e-01 0.000000e+00 0.000000e+00)
#
# Time        	Cd            	Cd(f)         	Cd(r)         	Cl            	Cl(f)         	Cl(r)         	CmPitch       	CmRoll        	CmYaw         	Cs            	Cs(f)         	Cs(r)         
1             	1.330835e+00	6.692313e-01	6.616038e-01	-3.958711e-02	5.452140e-01	-5.848011e-01	5.650076e-01	3.813759e-03	-2.008843e-03	-2.212670e-02	-1.307219e-02	-9.054507e-03
2             	1.527014e+00	7.711788e-01	7.558350e-01	-5.353750e-02	6.247537e-01	-6.782913e-01	6.515225e-01	7.671906e-03	-2.990820e-03	-3.201917e-02	-1.900041e-02	-1.301877e-02
3             	1.341740e+00	6.782320e-01	6.635078e-01	-3.949036e-02	5.548779e-01	-5.943683e-01	5.746231e-01	7.362083e-03	-8.614943e-04	-2.905782e-02	-1.539040e-02	-1.366741e-02
4             	1.091431e+00	5.500263e-01	5.414044e-01	-2.855003e-02	4.521687e-01	-4.807188e-01	4.664438e-01	4.310959e-03	1.930253e-03	-1.942793e-02	-7.783711e-03	-1.164422e-02
5             	8.908176e-01	4.463358e-01	4.444819e-01	-2.157728e-02	3.674748e-01	-3.890520e-01	3.782634e-01	9.269410e-04	4.338999e-03	-1.082659e-02	-1.074294e-03	-9.752293e-03
6             	7.405554e-01	3.699579e-01	3.705975e-01	-1.023336e-02	3.069905e-01	-3.172238e-01	3.121071e-01	-3.198064e-04	4.274872e-03	-8.149865e-03	1.999396e-04	-8.349805e-03
7             	6.343323e-01	3.173369e-01	3.169954e-01	7.317206e-04	2.651932e-01	-2.644615e-01	2.648273e-01	1.707040e-04	2.186352e-03	-9.585907e-03	-2.606602e-03	-6.979305e-03
8             	5.629493e-01	2.835658e-01	2.793835e-01	7.803961e-03	2.362073e-01	-2.284034e-01	2.323054e-01	2.091148e-03	-1.229051e-03	-1.458331e-02	-8.520705e-03	-6.062603e-03
9             	5.162911e-01	2.634624e-01	2.528288e-01	1.220100e-02	2.165129e-01	-2.043119e-01	2.104124e-01	5.316785e-03	-4.974254e-03	-2.217145e-02	-1.605998e-02	-6.111469e-03
10            	4.855975e-01	2.508094e-01	2.347881e-01	1.583140e-02	2.030851e-01	-1.872537e-01	1.951694e-01	8.010661e-03	-7.973709e-03	-2.820193e-02	-2.207467e-02	-6.127255e-03
11            	4.650149e-01	2.426977e-01	2.223172e-01	1.952410e-02	1.946965e-01	-1.751724e-01	1.849344e-01	1.019027e-02	-9.916003e-03	-3.260343e-02	-2.621772e-02	-6.385713e-03
12            	4.512523e-01	2.362113e-01	2.150410e-01	2.498746e-02	1.911135e-01	-1.661261e-01	1.786198e-01	1.058517e-02	-1.031752e-02	-3.287549e-02	-2.675526e-02	-6.120221e-03
13            	4.427605e-01	2.311989e-01	2.115616e-01	3.130252e-02	1.909196e-01	-1.596170e-01	1.752683e-01	9.818645e-03	-1.015778e-02	-3.094014e-02	-2.562785e-02	-5.312294e-03
14            	4.386327e-01	2.280842e-01	2.105485e-01	3.762059e-02	1.934395e-01	-1.558189e-01	1.746292e-01	8.767835e-03	-9.909698e-03	-2.845841e-02	-2.413890e-02	-4.319505e-03
15            	4.357766e-01	2.259297e-01	2.098469e-01	4.367569e-02	1.967351e-01	-1.530595e-01	1.748973e-01	8.041390e-03	-9.687442e-03	-2.662800e-02	-2.300144e-02	-3.626558e-03
16            	4.330925e-01	2.240959e-01	2.089966e-01	4.878695e-02	1.997742e-01	-1.509872e-01	1.753807e-01	7.549668e-03	-9.939028e-03	-2.572633e-02	-2.280219e-02	-2.924138e-03
17            	4.304379e-01	2.223080e-01	2.081299e-01	5.272334e-02	2.018355e-01	-1.491122e-01	1.754739e-01	7.089024e-03	-1.056222e-02	-2.498865e-02	-2.305654e-02	-1.932106e-03
18            	4.292092e-01	2.208631e-01	2.083461e-01	5.464080e-02	2.033826e-01	-1.487418e-01	1.760622e-01	6.258494e-03	-1.075445e-02	-2.312826e-02	-2.231858e-02	-8.096836e-04
19            	4.288252e-01	2.195374e-01	2.092878e-01	5.492955e-02	2.044296e-01	-1.495001e-01	1.769649e-01	5.124807e-03	-1.000761e-02	-2.016079e-02	-2.008801e-02	-7.278547e-05
20            	4.287771e-01	2.183095e-01	2.104676e-01	5.415399e-02	2.049152e-01	-1.507613e-01	1.778383e-01	3.920974e-03	-8.271756e-03	-1.663500e-02	-1.658926e-02	-4.574337e-05
21            	4.283636e-01	2.171017e-01	2.112619e-01	5.296528e-02	2.046640e-01	-1.516987e-01	1.781814e-01	2.919889e-03	-5.661650e-03	-1.311318e-02	-1.221824e-02	-8.949397e-04
22            	4.277428e-01	2.160332e-01	2.117096e-01	5.226190e-02	2.038682e-01	-1.516063e-01	1.777372e-01	2.161759e-03	-2.735404e-03	-9.921599e-03	-7.696204e-03	-2.225396e-03
23            	4.265175e-01	2.146723e-01	2.118452e-01	5.247019e-02	2.025290e-01	-1.500588e-01	1.762939e-01	1.413542e-03	1.417968e-05	-6.898073e-03	-3.434857e-03	-3.463216e-03
24            	4.247693e-01	2.130401e-01	2.117292e-01	5.357733e-02	2.008393e-01	-1.472620e-01	1.740507e-01	6.554232e-04	2.066870e-03	-4.483845e-03	-1.750524e-04	-4.308793e-03
25            	4.226788e-01	2.114024e-01	2.112764e-01	5.519645e-02	1.990254e-01	-1.438289e-01	1.714272e-01	6.296198e-05	3.224099e-03	-2.979571e-03	1.734314e-03	-4.713885e-03
26            	4.209329e-01	2.101883e-01	2.107446e-01	5.698132e-02	1.974858e-01	-1.405045e-01	1.689951e-01	-2.781959e-04	3.575894e-03	-2.629053e-03	2.261368e-03	-4.890421e-03
27            	4.193351e-01	2.091952e-01	2.101399e-01	5.863154e-02	1.961937e-01	-1.375622e-01	1.668779e-01	-4.723138e-04	3.339237e-03	-3.175718e-03	1.751378e-03	-4.927095e-03
28            	4.181448e-01	2.082194e-01	2.099254e-01	5.999711e-02	1.952879e-01	-1.352908e-01	1.652894e-01	-8.530103e-04	2.792808e-03	-3.630493e-03	9.775617e-04	-4.608055e-03
29            	4.171800e-01	2.071859e-01	2.099941e-01	6.112338e-02	1.947752e-01	-1.336518e-01	1.642135e-01	-1.404073e-03	2.297370e-03	-3.663878e-03	4.654305e-04	-4.129309e-03
30            	4.165985e-01	2.061751e-01	2.104234e-01	6.199655e-02	1.945959e-01	-1.325994e-01	1.635976e-01	-2.124172e-03	2.160751e-03	-3.061678e-03	6.299116e-04	-3.691590e-03
31            	4.163133e-01	2.052232e-01	2.110901e-01	6.273620e-02	1.946401e-01	-1.319039e-01	1.632720e-01	-2.933432e-03	2.488934e-03	-1.756684e-03	1.610592e-03	-3.367276e-03
32            	4.160876e-01	2.043790e-01	2.117087e-01	6.352654e-02	1.947248e-01	-1.311983e-01	1.629616e-01	-3.664832e-03	2.999343e-03	-2.270729e-04	2.885807e-03	-3.112879e-03
33            	4.158555e-01	2.036429e-01	2.122126e-01	6.420612e-02	1.947958e-01	-1.305897e-01	1.626927e-01	-4.284840e-03	3.426664e-03	1.132324e-03	3.992825e-03	-2.860502e-03
34            	4.155454e-01	2.029351e-01	2.126103e-01	6.489174e-02	1.948064e-01	-1.299146e-01	1.623605e-01	-4.837612e-03	3.676246e-03	2.078510e-03	4.715501e-03	-2.636991e-03
35            	4.151317e-01	2.021743e-01	2.129575e-01	6.554792e-02	1.946963e-01	-1.291484e-01	1.619224e-01	-5.391603e-03	3.698427e-03	2.740409e-03	5.068632e-03	-2.328223e-03
36            	4.145620e-01	2.013294e-01	2.132326e-01	6.636697e-02	1.945259e-01	-1.281590e-01	1.613424e-01	-5.951618e-03	3.599583e-03	3.242736e-03	5.220950e-03	-1.978215e-03
37            	4.139061e-01	2.004361e-01	2.134700e-01	6.708900e-02	1.942444e-01	-1.271554e-01	1.606999e-01	-6.516918e-03	3.519818e-03	3.816810e-03	5.428223e-03	-1.611413e-03
38            	4.130655e-01	1.993752e-01	2.136903e-01	6.740037e-02	1.938156e-01	-1.264152e-01	1.601154e-01	-7.157544e-03	3.534140e-03	4.724965e-03	5.896622e-03	-1.171658e-03
39            	4.120955e-01	1.982278e-01	2.138677e-01	6.724603e-02	1.932464e-01	-1.260004e-01	1.596234e-01	-7.819923e-03	3.630915e-03	5.911687e-03	6.586759e-03	-6.750715e-04
40            	4.109912e-01	1.970948e-01	2.138964e-01	6.684243e-02	1.926556e-01	-1.258131e-01	1.592343e-01	-8.400804e-03	3.784665e-03	7.155679e-03	7.362504e-03	-2.068253e-04
